# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13]
200 100
1 0.05 0 0 0 0 0 0 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0 0.563766 0.00662963 0 0 0 0
10 0.95 0 0 0 0 0 0 47.9054 0.787685 0 0 0 0
11 1.05 0 0 0 0 0 0 8.48171 0.996715 0 0 0 0
12 1.15 0.000124716 7.40741e-06 0 0 0 0 0.123344 1 0 0 0 0
13 1.25 0.0421455 0.00292593 0 0 0 0 0 1 0 0 0 0
14 1.35 0.12904 0.0114778 0 0 0 0 0.0127136 1.00054 0 0 0 0
15 1.45 6.57596 0.449693 0.151809 0.00740042 0 0 0.0615735 1.00358 0 0 0 0
16 1.55 3.26441 0.744796 0.1218 0.0136758 0 0 0.0814685 1.00802 0 0 0 0
17 1.65 1.91674 0.969252 0.0978845 0.0189378 0 0 0.269566 1.02426 0 0 0 0
18 1.75 0.21313 0.996296 0.186354 0.0309154 0 0 0.592221 1.06464 0 0 0 0
19 1.85 0.266788 1.0321 0.143399 0.0403843 0 0 0.814424 1.12502 0 0 13.5124 0.0390671
20 1.95 0.396861 1.09009 0.126584 0.0490706 0 0 1.0844 1.21197 0 0 14.5371 0.0777533
21 2.05 0.572565 1.1809 0.129556 0.0586164 0 0 1.18996 1.3121 0 0 13.0544 0.111324
22 2.15 0.769943 1.31485 0.208627 0.0789937 0 0 1.38216 1.43221 0 0 0.690423 0.113208
23 2.25 1.05985 1.52478 0.238742 0.104382 0 0 1.39646 1.55866 0.917804 0.00403148 0 0.113208
